Root	Durative Theme Vowel	Preterite Theme Vowel	Glosses
šrp	a	u	burn (tablet), city, wood, corpses, light;
šrq	a	u	steal
srq	a	u	strew, scatter, pour, sprinkle
ṣrr	a	u	drip, ooze, trickle; (D) drip liquid
šrr	u	u	bend
šrṣ	a	u	clutch, claw on
šrṭ	a	u	shred, tear; (D) tear in
ṣrt	i	i	fart, break wind; (D) fart chronically
šth	a	u	be tall, elongated, stretch out
stl	i	i	plant (reed-bed)
štn	i	i	urinate
šṭp	a	u	preserve life, save
štp	i	i	hollow out
štq	a	u	cut, split; tear
šṭr	a	u	write, write down, inscribe
sṭr	a	u	write down; inscribe tablet, stele; copy tablet; (D) put down in writing
šṭṭ	a	u	rip open
ṭbh	a	u	slaughter (animal, human), butcher
tbk	a	u	pour, shed, infuse; lay flat
tbl	a	a	take away, take for oneself; disappear
tgn	u	u	be(come) secure; (D) put in order; (Dtn) keep in order
ṭhd	u	u	be abundant; flourish; (Dt) burst out
tkl	a	a	confide (in), trust, entrust, rely on
tkp	i	i	prick, puncture, cup
tll	a	u	stretch out; stick out
ṭlm	a	u	cheat, deceive, treat
tmh	a	u	grasp, hold fast; control (D ~ G)
tmk	a	u	grasp, hold fast; control (D ~ G)
tmr	i	i	bury; cover in earth
ṭnp	u	u	be dirty, be stained
tpk	a	u	pour, shed, infuse; lay flat
ṭpl	a	u	slander, insult, revile; disdain oath
ṭpp	u	u	be satisfied, be very full
ṭpr	i	i	press towards; drive away (animate objects)
tqm	u	u	be(come) secure; (D) put in order; (Dtn) keep in order
tqn	u	u	be(come) secure; (D) put in order; (Dtn) keep in order
ṭrd	a	u	send (animate objects), drive away
trh	a	u	delve, dig up, grub
trk	a	u	I be dark; II beat, thump
trq	a	a	relent, take pity
trr	u	u	shake, shiver, thrill
trṣ	a	u	stretch out, extend, point (a finger); spread out
wml	i	i	be veiled, covered; (D) eclipse
wqr	i	i	become rare, scarce, expensive
wrq	i	i	become yellowish green; pale
wsq	i	i	raise up, strengthen
wtr	i	i	be excessive, additional; (D) enlarge
zbl	i	i	carry, haul, transport
zkp	a	u	fix upright; impale (human on stake); crucify; plant; (N) be set up
zkr	a	u	declare, name, invoke, mention, speak, pronounce
zmm	a	a	buzz, tinkle, whir
zmr	a	u	sing, chant, intone
znn	a	u	I support, keep up; provide food for; pander; II (OB) rain
zpr	a	a	decay, rot, become
zqp	a	u	fix upright; impale (human on stake); crucify; plant; (N) be set up
zqr	a	u	declare, name, invoke, mention, speak, pronounce
zqt	a	u	sting, goad, prick; bite (of insects)
zrb	i	i	do legally; purchase, acquire
zrp	i	i	do legally; purchase, acquire
zrq	a	u	scatter, sprinkle, spray, strew
